time,price,open,high,low,vol.,raw_px_change,price_change,fm_d1,fm_d5,fm_trend_d5,fm_z_20,day_of_week,day_of_month,da_DE-LU,da_FR,da_de_roll7_DE-LU,da_de_roll7_FR,da_de_roll28_DE-LU,da_de_roll28_FR,da_de_trend_xover_DE-LU,da_de_trend_xover_FR,da_de_trend_xover_ramp_DE-LU,da_de_trend_xover_ramp_FR,solar_DE-LU,solar_FR,wind_onshore_DE-LU,wind_onshore_FR,wind_ramp_DE-LU,wind_ramp_FR,solar_ramp_DE-LU,solar_ramp_FR,total_ramp_DE-LU,total_ramp_FR
2024-08-14,84.41,84.41,84.41,84.41,,0.0172,1.43,-0.41,-0.23,-0.074,1.63399912,2,14,81.74,65.61,21.82857143,14.28714286,25.60357143,18.60607143,-3.775,-4.31892857,-0.65821429,5.11464286,-81900.3,-3266.0,-81900.3,-3266.0,114461.7,4318.0,114461.7,4318.0,228923.4,8636.0
2024-08-15,84.48,84.48,84.48,84.48,,0.0008,0.07,1.43,-0.11,-0.28,1.65694,3,15,4.25,4.13,16.68714286,14.86285714,24.01321429,16.88357143,-7.32607143,-2.02071429,-3.55107143,2.29821429,-170938.5,-26926.0,-170938.5,-26926.0,-89038.2,-23660.0,-89038.2,-23660.0,-178076.4,-47320.0
2024-08-16,83.98,83.98,83.98,83.98,,-0.0059,-0.5,0.07,1.51,0.222,1.50972235,4,16,55.16,56.27,24.58285714,22.90285714,24.46392857,17.24964286,0.11892857,5.65321429,7.445,7.67392857,-151627.2,-14675.0,-151627.2,-14675.0,19311.3,12251.0,19311.3,12251.0,38622.6,24502.0
2024-08-19,86.34,86.34,86.34,86.34,,0.0281,2.36,-0.5,6.72,2.124,1.23963549,0,19,79.9,66.32,53.72,42.37571429,29.92928571,20.045,23.79071429,22.33071429,5.30714286,4.04035714,-130161.1,-9354.0,-130161.1,-9354.0,31131.2,18954.0,31131.2,18954.0,62262.4,37908.0
2024-08-20,84.9,84.9,84.9,84.9,,-0.0167,-1.44,2.36,-0.41,1.496,1.46795995,1,20,48.9,36.63,51.54142857,38.07571429,30.17714286,21.18035714,21.36428571,16.89535714,-2.42642857,-5.43535714,-114543.2,-18038.0,-114543.2,-18038.0,15617.9,-8684.0,15617.9,-8684.0,31235.8,-17368.0
2024-08-21,84.73,84.73,84.73,84.73,,-0.002,-0.17,-1.44,1.43,1.828,1.13766258,2,21,-16.05,-4.28,37.57142857,28.09142857,29.67392857,20.83107143,7.8975,7.26035714,-13.46678571,-9.635,-191347.6,-19522.0,-191347.6,-19522.0,-76804.4,-1484.0,-76804.4,-1484.0,-153608.8,-2968.0
2024-08-22,83.23,83.23,83.23,83.23,,-0.0177,-1.5,-0.17,0.07,1.864,1.03958473,3,22,-4.35,-0.01,36.34285714,27.5,28.58285714,19.895,7.76,7.605,-0.1375,0.34464286,-189720.7,-18965.0,-189720.7,-18965.0,1626.9,557.0,1626.9,557.0,3253.8,1114.0
2024-08-23,82.02,82.02,82.02,82.02,,-0.0145,-1.21,-1.5,-0.5,1.462,0.73987651,4,23,-10.15,-4.33,27.01285714,18.84285714,25.78678571,18.00107143,1.22607143,0.84178571,-6.53392857,-6.76321429,-253323.7,-29100.0,-253323.7,-29100.0,-63603.0,-10135.0,-63603.0,-10135.0,-127206.0,-20270.0
2024-08-26,82.04,82.04,82.04,82.04,,0.0002,0.02,-1.21,2.36,0.59,0.45425371,0,26,71.05,54.3,7.37285714,7.42428571,26.92392857,19.20857143,-19.55107143,-11.78428571,-3.80428571,-3.60642857,-161197.0,-17131.0,-161197.0,-17131.0,98348.2,11558.0,98348.2,11558.0,196696.4,23116.0
2024-08-27,82.45,82.45,82.45,82.45,,0.005,0.41,0.02,-1.44,0.384,0.3739335,1,27,23.45,28.09,3.73714286,6.20428571,27.28821429,19.72428571,-23.55107143,-13.52,-4.0,-1.73571429,-178119.5,-16776.0,-178119.5,-16776.0,-16922.5,355.0,-16922.5,355.0,-33845.0,710.0
2024-08-28,82.3,82.3,82.3,82.3,,-0.0018,-0.15,0.41,-0.17,0.064,0.40353891,2,28,54.84,56.85,13.86428571,14.93714286,28.11321429,20.56214286,-14.24892857,-5.625,9.30214286,7.895,-162467.1,-12292.0,-162467.1,-12292.0,15652.4,4484.0,15652.4,4484.0,31304.8,8968.0
2024-08-29,82.07,82.07,82.07,82.07,,-0.0028,-0.23,-0.15,-1.5,-0.25,0.31121473,3,29,79.45,80.79,25.83571429,26.48,28.40714286,21.11071429,-2.57142857,5.36928571,11.6775,10.99428571,-149415.8,-7004.0,-149415.8,-7004.0,13051.3,5288.0,13051.3,5288.0,26102.6,10576.0
2024-08-30,82.05,82.05,82.05,82.05,,-0.0002,-0.02,-0.23,-1.21,-0.392,0.18620633,4,30,81.98,83.44,38.99714286,39.01857143,29.52857143,22.26071429,9.46857143,16.75785714,12.04,11.38857143,-110737.8,-5809.0,-110737.8,-5809.0,38678.0,1195.0,38678.0,1195.0,77356.0,2390.0
2024-09-03,88.67,88.67,88.67,88.67,,0.0807,6.62,-0.02,0.02,-0.86,-0.02207524,1,3,86.67,87.2,55.53428571,61.26142857,32.71535714,28.2675,22.81892857,32.99392857,6.63035714,6.0275,-131196.7,-1064.0,-131196.7,-1064.0,-22310.1,2704.0,-22310.1,2704.0,-44620.2,5408.0
2024-09-04,85.92,85.92,85.92,85.92,,-0.031,-2.75,6.62,0.41,-0.49,1.74039966,2,4,92.72,92.72,60.94571429,66.38571429,33.5525,30.92535714,27.39321429,35.46035714,4.57428571,2.46642857,-87438.7,-1265.0,-87438.7,-1265.0,43758.0,-201.0,43758.0,-201.0,87516.0,-402.0
2024-09-05,86.5,86.5,86.5,86.5,,0.0068,0.58,-2.75,-0.15,-0.486,0.87636282,3,5,-7.02,59.96,48.59285714,63.41,31.86464286,33.06321429,16.72821429,30.34678571,-10.665,-5.11357143,-165159.7,-13837.0,-165159.7,-13837.0,-77721.0,-12572.0,-77721.0,-12572.0,-155442.0,-25144.0
2024-09-06,90.1,90.1,90.1,90.1,,0.0416,3.6,0.58,-0.23,-0.232,0.89614249,4,6,30.06,46.14,41.17571429,58.08142857,32.94214286,34.71142857,8.23357143,23.37,-8.49464286,-6.97678571,-124779.0,-10629.0,-124779.0,-10629.0,40380.7,3208.0,40380.7,3208.0,80761.4,6416.0
